month,gld_price,gold_ret,krw_cash_ret,sig_6m,sig_3612,strat6_ret_25bp,stratMulti_ret_25bp,eq_buyhold,eq_6m,eq_multi
2005-12,51.580,0.05051,0.00307,1,1,0.04801,0.04801,1.0505,1.0480,1.0480
2006-01,56.700,0.09926,0.00307,1,1,0.09926,0.09926,1.1548,1.1520,1.1520
2006-02,56.070,-0.01111,0.00327,1,1,-0.01111,-0.01111,1.1420,1.1392,1.1392
2006-03,58.100,0.03620,0.00327,1,1,0.03620,0.03620,1.1833,1.1805,1.1805
2006-04,65.090,0.12031,0.00327,1,1,0.12031,0.12031,1.3257,1.3225,1.3225
2006-05,64.230,-0.01321,0.00327,1,1,-0.01321,-0.01321,1.3081,1.3050,1.3050
2006-06,61.230,-0.04671,0.00347,1,1,-0.04671,-0.04671,1.2470,1.2441,1.2441
2006-07,63.160,0.03152,0.00347,1,1,0.03152,0.03152,1.2864,1.2833,1.2833
2006-08,62.290,-0.01377,0.00367,1,1,-0.01377,-0.01377,1.2686,1.2656,1.2656
2006-09,59.470,-0.04527,0.00367,1,1,-0.04527,-0.04527,1.2112,1.2083,1.2083
2006-10,60.240,0.01295,0.00367,1,1,0.01295,0.01295,1.2269,1.2240,1.2240
2006-11,64.390,0.06889,0.00367,0,0,0.00117,0.00117,1.3114,1.2254,1.2254
2006-12,63.210,-0.01833,0.00367,1,1,-0.02083,-0.02083,1.2874,1.1999,1.1999
2007-01,64.830,0.02563,0.00367,1,1,0.02563,0.02563,1.3204,1.2306,1.2306
2007-02,66.480,0.02545,0.00367,1,1,0.02545,0.02545,1.3540,1.2620,1.2620
2007-03,65.740,-0.01113,0.00367,1,1,-0.01113,-0.01113,1.3389,1.2479,1.2479
2007-04,67.090,0.02054,0.00367,1,1,0.02054,0.02054,1.3664,1.2735,1.2735
2007-05,65.540,-0.02310,0.00367,1,1,-0.02310,-0.02310,1.3348,1.2441,1.2441
2007-06,64.270,-0.01938,0.00367,1,1,-0.01938,-0.01938,1.3090,1.2200,1.2200
2007-07,65.790,0.02365,0.00387,1,1,0.02365,0.02365,1.3399,1.2489,1.2489
2007-08,66.520,0.01110,0.00407,1,1,0.01110,0.01110,1.3548,1.2627,1.2627
2007-09,73.510,0.10508,0.00407,1,1,0.10508,0.10508,1.4971,1.3954,1.3954
2007-10,78.620,0.06951,0.00407,1,1,0.06951,0.06951,1.6012,1.4924,1.4924
2007-11,77.320,-0.01654,0.00407,1,1,-0.01654,-0.01654,1.5747,1.4677,1.4677
2007-12,82.460,0.06648,0.00407,1,1,0.06648,0.06648,1.6794,1.5653,1.5653
2008-01,91.400,0.10842,0.00407,1,1,0.10842,0.10842,1.8615,1.7350,1.7350
2008-02,96.180,0.05230,0.00407,1,1,0.05230,0.05230,1.9589,1.8257,1.8257
2008-03,90.410,-0.05999,0.00407,1,1,-0.05999,-0.05999,1.8413,1.7162,1.7162
2008-04,86.650,-0.04159,0.00407,1,1,-0.04159,-0.04159,1.7648,1.6448,1.6448
2008-05,87.450,0.00923,0.00407,1,1,0.00923,0.00923,1.7811,1.6600,1.6600
2008-06,91.400,0.04517,0.00407,1,1,0.04517,0.04517,1.8615,1.7350,1.7350
2008-07,90.080,-0.01444,0.00407,1,1,-0.01444,-0.01444,1.8346,1.7099,1.7099
2008-08,81.710,-0.09292,0.00427,0,1,0.00177,-0.09292,1.6642,1.7130,1.5511
2008-09,85.070,0.04112,0.00427,0,0,0.00427,0.00177,1.7326,1.7203,1.5538
2008-10,71.340,-0.16140,0.00347,0,0,0.00347,0.00347,1.4530,1.7263,1.5592
2008-11,80.310,0.12574,0.00327,0,0,0.00327,0.00327,1.6356,1.7319,1.5643
2008-12,86.520,0.07733,0.00247,0,0,0.00247,0.00247,1.7621,1.7362,1.5682
2009-01,91.310,0.05536,0.00206,0,1,0.00206,0.05286,1.8597,1.7398,1.6511
2009-02,92.630,0.01446,0.00165,1,1,0.01196,0.01446,1.8866,1.7606,1.6749
2009-03,90.280,-0.02537,0.00165,1,1,-0.02537,-0.02537,1.8387,1.7159,1.6324
2009-04,87.270,-0.03334,0.00165,1,1,-0.03334,-0.03334,1.7774,1.6587,1.5780
2009-05,96.200,0.10233,0.00165,1,1,0.10233,0.10233,1.9593,1.8284,1.7395
2009-06,91.180,-0.05218,0.00165,1,1,-0.05218,-0.05218,1.8570,1.7330,1.6487
2009-07,93.350,0.02380,0.00165,1,1,0.02380,0.02380,1.9012,1.7743,1.6880
2009-08,93.400,0.00054,0.00165,1,1,0.00054,0.00054,1.9022,1.7752,1.6889
2009-09,98.850,0.05835,0.00165,1,1,0.05835,0.05835,2.0132,1.8788,1.7874
2009-10,102.530,0.03723,0.00165,1,1,0.03723,0.03723,2.0882,1.9487,1.8539
2009-11,115.640,0.12787,0.00165,1,1,0.12787,0.12787,2.3552,2.1979,2.0910
2009-12,107.310,-0.07203,0.00165,1,1,-0.07203,-0.07203,2.1855,2.0396,1.9404
2010-01,105.960,-0.01258,0.00165,1,1,-0.01258,-0.01258,2.1580,2.0139,1.9160
2010-02,109.430,0.03275,0.00165,1,1,0.03275,0.03275,2.2287,2.0799,1.9787
2010-03,108.950,-0.00439,0.00165,1,1,-0.00439,-0.00439,2.2189,2.0708,1.9700
2010-04,115.360,0.05883,0.00165,1,1,0.05883,0.05883,2.3495,2.1926,2.0859
2010-05,118.880,0.03051,0.00165,1,1,0.03051,0.03051,2.4212,2.2595,2.1496
2010-06,121.680,0.02355,0.00165,1,1,0.02355,0.02355,2.4782,2.3127,2.2002
2010-07,115.490,-0.05087,0.00186,1,1,-0.05087,-0.05087,2.3521,2.1951,2.0883
2010-08,122.080,0.05706,0.00186,1,1,0.05706,0.05706,2.4864,2.3203,2.2075
2010-09,127.910,0.04776,0.00186,1,1,0.04776,0.04776,2.6051,2.4311,2.3129
2010-10,132.620,0.03682,0.00186,1,1,0.03682,0.03682,2.7010,2.5206,2.3980
2010-11,135.420,0.02111,0.00206,1,1,0.02111,0.02111,2.7580,2.5739,2.4487
2010-12,138.720,0.02437,0.00206,1,1,0.02437,0.02437,2.8253,2.6366,2.5083
2011-01,129.870,-0.06380,0.00226,1,1,-0.06380,-0.06380,2.6450,2.4684,2.3483
2011-02,137.660,0.05998,0.00226,1,1,0.05998,0.05998,2.8037,2.6164,2.4892
2011-03,139.860,0.01598,0.00247,1,1,0.01598,0.01598,2.8485,2.6582,2.5289
2011-04,152.370,0.08945,0.00247,1,1,0.08945,0.08945,3.1033,2.8960,2.7552
2011-05,149.640,-0.01792,0.00247,1,1,-0.01792,-0.01792,3.0477,2.8441,2.7058
2011-06,146.000,-0.02433,0.00267,1,1,-0.02433,-0.02433,2.9735,2.7749,2.6400
2011-07,158.290,0.08418,0.00267,1,1,0.08418,0.08418,3.2238,3.0085,2.8622
2011-08,177.720,0.12275,0.00267,1,1,0.12275,0.12275,3.6196,3.3778,3.2135
2011-09,158.060,-0.11062,0.00267,1,1,-0.11062,-0.11062,3.2191,3.0042,2.8580
2011-10,167.340,0.05871,0.00267,1,1,0.05871,0.05871,3.4081,3.1805,3.0258
2011-11,170.130,0.01667,0.00267,1,1,0.01667,0.01667,3.4650,3.2336,3.0763
2011-12,151.990,-0.10662,0.00267,1,1,-0.10662,-0.10662,3.0955,2.8888,2.7483
2012-01,169.310,0.11395,0.00267,1,1,0.11395,0.11395,3.4483,3.2180,3.0615
2012-02,164.290,-0.02965,0.00267,1,1,-0.02965,-0.02965,3.3460,3.1226,2.9707
2012-03,162.120,-0.01321,0.00267,0,0,0.00017,0.00017,3.3018,3.1231,2.9712
2012-04,161.880,-0.00148,0.00267,1,1,-0.00398,-0.00398,3.2969,3.1107,2.9594
2012-05,151.620,-0.06338,0.00267,0,0,0.00017,0.00017,3.0880,3.1112,2.9599
2012-06,155.190,0.02355,0.00267,0,0,0.00267,0.00267,3.1607,3.1195,2.9678
2012-07,156.490,0.00838,0.00247,1,1,0.00588,0.00588,3.1872,3.1378,2.9852
2012-08,164.220,0.04940,0.00247,0,0,-0.00003,-0.00003,3.3446,3.1377,2.9851
2012-09,171.890,0.04671,0.00247,0,0,0.00247,0.00247,3.5008,3.1455,2.9925
2012-10,166.830,-0.02944,0.00226,1,1,-0.03194,-0.03194,3.3978,3.0450,2.8969
2012-11,166.050,-0.00468,0.00226,1,1,-0.00468,-0.00468,3.3819,3.0308,2.8834
2012-12,162.020,-0.02427,0.00226,1,1,-0.02427,-0.02427,3.2998,2.9572,2.8134
2013-01,161.200,-0.00506,0.00226,1,1,-0.00506,-0.00506,3.2831,2.9422,2.7991
2013-02,153.000,-0.05087,0.00226,1,0,-0.05087,-0.00024,3.1161,2.7926,2.7985
2013-03,154.450,0.00948,0.00226,0,0,-0.00024,0.00226,3.1456,2.7919,2.8048
2013-04,142.770,-0.07562,0.00226,0,0,0.00226,0.00226,2.9077,2.7982,2.8112
2013-05,133.920,-0.06199,0.00206,0,0,0.00206,0.00206,2.7275,2.8040,2.8169
2013-06,119.110,-0.11059,0.00206,0,0,0.00206,0.00206,2.4259,2.8098,2.8227
2013-07,127.960,0.07430,0.00206,0,0,0.00206,0.00206,2.6061,2.8156,2.8286
2013-08,134.620,0.05205,0.00206,0,0,0.00206,0.00206,2.7418,2.8214,2.8344
2013-09,128.180,-0.04784,0.00206,0,0,0.00206,0.00206,2.6106,2.8272,2.8402
2013-10,127.740,-0.00343,0.00206,0,0,0.00206,0.00206,2.6016,2.8330,2.8461
2013-11,120.700,-0.05511,0.00206,0,0,0.00206,0.00206,2.4582,2.8388,2.8519
2013-12,116.120,-0.03795,0.00206,0,0,0.00206,0.00206,2.3650,2.8447,2.8578
2014-01,120.090,0.03419,0.00206,0,0,0.00206,0.00206,2.4458,2.8505,2.8637
2014-02,127.620,0.06270,0.00206,0,0,0.00206,0.00206,2.5992,2.8564,2.8696
2014-03,123.610,-0.03142,0.00206,0,0,0.00206,0.00206,2.5175,2.8623,2.8755
2014-04,124.220,0.00493,0.00206,0,0,0.00206,0.00206,2.5299,2.8682,2.8814
2014-05,120.430,-0.03051,0.00206,0,0,0.00206,0.00206,2.4527,2.8741,2.8874
2014-06,128.040,0.06319,0.00206,0,0,0.00206,0.00206,2.6077,2.8800,2.8933
2014-07,123.390,-0.03632,0.00206,1,1,-0.03882,-0.03882,2.5130,2.7682,2.7810
2014-08,123.860,0.00381,0.00186,1,0,0.00381,-0.00064,2.5226,2.7788,2.7792
2014-09,116.210,-0.06176,0.00186,0,0,-0.00064,0.00186,2.3668,2.7770,2.7844
2014-10,112.660,-0.03055,0.00165,0,0,0.00165,0.00165,2.2945,2.7816,2.7890
2014-11,112.110,-0.00488,0.00165,0,0,0.00165,0.00165,2.2833,2.7862,2.7936
2014-12,113.580,0.01311,0.00165,0,0,0.00165,0.00165,2.3132,2.7908,2.7982
2015-01,123.450,0.08690,0.00165,0,0,0.00165,0.00165,2.5143,2.7954,2.8028
2015-02,116.160,-0.05905,0.00165,1,1,-0.06155,-0.06155,2.3658,2.6233,2.6303
2015-03,113.660,-0.02152,0.00145,0,0,-0.00105,-0.00105,2.3149,2.6205,2.6275
2015-04,113.470,-0.00167,0.00145,0,0,0.00145,0.00145,2.3110,2.6243,2.6313
2015-05,114.100,0.00555,0.00145,1,0,0.00305,0.00145,2.3238,2.6324,2.6351
2015-06,112.370,-0.01516,0.00124,1,0,-0.01516,0.00124,2.2886,2.5924,2.6384
2015-07,104.930,-0.06621,0.00124,0,0,-0.00126,0.00124,2.1371,2.5892,2.6417
2015-08,108.820,0.03707,0.00124,0,0,0.00124,0.00124,2.2163,2.5924,2.6450
2015-09,106.860,-0.01801,0.00124,0,0,0.00124,0.00124,2.1764,2.5956,2.6482
2015-10,109.300,0.02283,0.00124,0,0,0.00124,0.00124,2.2261,2.5988,2.6515
2015-11,101.920,-0.06752,0.00124,0,0,0.00124,0.00124,2.0758,2.6021,2.6548
2015-12,101.460,-0.00451,0.00124,0,0,0.00124,0.00124,2.0664,2.6053,2.6581
2016-01,106.950,0.05411,0.00124,0,0,0.00124,0.00124,2.1782,2.6085,2.6614
2016-02,118.640,0.10930,0.00124,1,0,0.10680,0.00124,2.4163,2.8871,2.6647
2016-03,117.640,-0.00843,0.00124,1,1,-0.00843,-0.01093,2.3959,2.8628,2.6356
2016-04,123.650,0.05109,0.00124,1,1,0.05109,0.05109,2.5183,3.0090,2.7702
2016-05,116.060,-0.06138,0.00124,1,1,-0.06138,-0.06138,2.3637,2.8243,2.6002
2016-06,126.470,0.08969,0.00104,1,1,0.08969,0.08969,2.5758,3.0777,2.8334
2016-07,128.980,0.01985,0.00104,1,1,0.01985,0.01985,2.6269,3.1387,2.8897
2016-08,124.780,-0.03256,0.00104,1,1,-0.03256,-0.03256,2.5413,3.0365,2.7956
2016-09,125.640,0.00689,0.00104,1,1,0.00689,0.00689,2.5589,3.0575,2.8148
2016-10,121.940,-0.02945,0.00104,1,1,-0.02945,-0.02945,2.4835,2.9674,2.7319
2016-11,111.750,-0.08357,0.00104,0,0,-0.00146,-0.00146,2.2760,2.9631,2.7279
2016-12,109.610,-0.01915,0.00104,0,0,0.00104,0.00104,2.2324,2.9662,2.7308
2017-01,115.550,0.05419,0.00104,0,0,0.00104,0.00104,2.3534,2.9692,2.7336
2017-02,119.230,0.03185,0.00104,0,0,0.00104,0.00104,2.4283,2.9723,2.7364
2017-03,118.720,-0.00428,0.00104,0,1,0.00104,-0.00678,2.4179,2.9754,2.7179
2017-04,120.770,0.01727,0.00104,0,1,0.00104,0.01727,2.4597,2.9785,2.7648
2017-05,120.620,-0.00124,0.00104,0,0,0.00104,-0.00146,2.4566,2.9815,2.7608
2017-06,118.020,-0.02156,0.00104,1,1,-0.02406,-0.02406,2.4037,2.9098,2.6943
2017-07,120.750,0.02313,0.00104,1,0,0.02313,-0.00146,2.4593,2.9771,2.6904
2017-08,125.820,0.04199,0.00104,1,0,0.04199,0.00104,2.5625,3.1021,2.6932
2017-09,121.580,-0.03370,0.00104,1,1,-0.03370,-0.03620,2.4762,2.9976,2.5957
2017-10,120.670,-0.00748,0.00104,1,1,-0.00748,-0.00748,2.4576,2.9752,2.5763
2017-11,121.100,0.00356,0.00124,0,0,-0.00126,-0.00126,2.4664,2.9714,2.5730
2017-12,123.650,0.02106,0.00124,1,1,0.01856,0.01856,2.5183,3.0266,2.6208
2018-01,127.650,0.03235,0.00124,1,1,0.03235,0.03235,2.5998,3.1245,2.7056
2018-02,125.000,-0.02076,0.00124,1,1,-0.02076,-0.02076,2.5458,3.0596,2.6494
2018-03,125.790,0.00632,0.00124,0,1,-0.00126,0.00632,2.5619,3.0557,2.6661
2018-04,124.590,-0.00954,0.00124,1,1,-0.01204,-0.00954,2.5375,3.0190,2.6407
2018-05,123.100,-0.01196,0.00124,1,1,-0.01196,-0.01196,2.5071,2.9829,2.6091
2018-06,118.650,-0.03615,0.00124,1,1,-0.03615,-0.03615,2.4165,2.8750,2.5148
2018-07,115.990,-0.02242,0.00124,0,0,-0.00126,-0.00126,2.3623,2.8714,2.5116
2018-08,113.510,-0.02138,0.00124,0,0,0.00124,0.00124,2.3118,2.8750,2.5148
2018-09,112.760,-0.00661,0.00124,0,0,0.00124,0.00124,2.2965,2.8785,2.5179
2018-10,115.150,0.02120,0.00124,0,0,0.00124,0.00124,2.3452,2.8821,2.5210
2018-11,115.540,0.00339,0.00145,0,0,0.00145,0.00145,2.3532,2.8863,2.5246
2018-12,121.250,0.04942,0.00145,0,0,0.00145,0.00145,2.4695,2.8905,2.5283
2019-01,124.750,0.02887,0.00145,1,1,0.02637,0.02637,2.5407,2.9667,2.5950
2019-02,123.990,-0.00609,0.00145,1,1,-0.00609,-0.00609,2.5253,2.9486,2.5792
2019-03,122.010,-0.01597,0.00145,1,1,-0.01597,-0.01597,2.4849,2.9015,2.5380
2019-04,121.200,-0.00664,0.00145,1,1,-0.00664,-0.00664,2.4684,2.8822,2.5211
2019-05,123.330,0.01757,0.00145,1,0,0.01757,-0.00105,2.5118,2.9329,2.5185
2019-06,133.200,0.08003,0.00145,1,1,0.08003,0.07753,2.7128,3.1676,2.7137
2019-07,133.210,0.00008,0.00124,1,1,0.00008,0.00008,2.7130,3.1679,2.7139
2019-08,143.750,0.07912,0.00124,1,1,0.07912,0.07912,2.9277,3.4185,2.9287
2019-09,138.870,-0.03395,0.00124,1,1,-0.03395,-0.03395,2.8283,3.3025,2.8292
2019-10,142.430,0.02564,0.00104,1,1,0.02564,0.02564,2.9008,3.3871,2.9018
2019-11,137.860,-0.03209,0.00104,1,1,-0.03209,-0.03209,2.8077,3.2784,2.8087
2019-12,142.900,0.03656,0.00104,1,1,0.03656,0.03656,2.9104,3.3983,2.9113
2020-01,149.330,0.04500,0.00104,1,1,0.04500,0.04500,3.0413,3.5512,3.0423
2020-02,148.380,-0.00636,0.00104,1,1,-0.00636,-0.00636,3.0220,3.5286,3.0230
2020-03,148.050,-0.00222,0.00062,1,1,-0.00222,-0.00222,3.0153,3.5208,3.0163
2020-04,158.800,0.07261,0.00062,1,1,0.07261,0.07261,3.2342,3.7764,3.2353
2020-05,162.910,0.02588,0.00042,1,1,0.02588,0.02588,3.3179,3.8741,3.3190
2020-06,167.370,0.02738,0.00042,1,1,0.02738,0.02738,3.4088,3.9802,3.4099
2020-07,185.430,0.10790,0.00042,1,1,0.10790,0.10790,3.7766,4.4097,3.7778
2020-08,184.830,-0.00324,0.00042,1,1,-0.00324,-0.00324,3.7644,4.3954,3.7656
2020-09,177.120,-0.04171,0.00042,1,1,-0.04171,-0.04171,3.6073,4.2121,3.6085
2020-10,176.200,-0.00519,0.00042,1,1,-0.00519,-0.00519,3.5886,4.1902,3.5898
2020-11,166.670,-0.05409,0.00042,1,1,-0.05409,-0.05409,3.3945,3.9636,3.3956
2020-12,178.360,0.07014,0.00042,1,1,0.07014,0.07014,3.6326,4.2416,3.6338
2021-01,172.610,-0.03224,0.00042,1,1,-0.03224,-0.03224,3.5155,4.1048,3.5166
2021-02,161.810,-0.06257,0.00042,0,0,-0.00208,-0.00208,3.2955,4.0963,3.5093
2021-03,159.960,-0.01143,0.00042,0,0,0.00042,0.00042,3.2578,4.0980,3.5108
2021-04,165.660,0.03563,0.00042,0,0,0.00042,0.00042,3.3739,4.0997,3.5122
2021-05,178.380,0.07678,0.00042,0,0,0.00042,0.00042,3.6330,4.1014,3.5137
2021-06,165.630,-0.07148,0.00042,1,1,-0.07398,-0.07398,3.3733,3.7980,3.2537
2021-07,169.820,0.02530,0.00042,0,0,-0.00208,-0.00208,3.4587,3.7901,3.2470
2021-08,169.690,-0.00077,0.00062,0,0,0.00062,0.00062,3.4560,3.7924,3.2490
2021-09,164.220,-0.03224,0.00062,1,0,-0.03474,0.00062,3.3446,3.6607,3.2510
2021-10,166.650,0.01480,0.00062,1,0,0.01480,0.00062,3.3941,3.7149,3.2530
2021-11,165.500,-0.00690,0.00083,1,0,-0.00690,0.00083,3.3707,3.6892,3.2557
2021-12,170.960,0.03299,0.00083,0,0,-0.00167,0.00083,3.4819,3.6831,3.2584
2022-01,168.090,-0.01679,0.00104,1,1,-0.01929,-0.01929,3.4234,3.6120,3.1956
2022-02,178.380,0.06122,0.00104,0,0,-0.00146,-0.00146,3.6330,3.6067,3.1909
2022-03,180.650,0.01273,0.00104,1,1,0.01023,0.01023,3.6792,3.6436,3.2235
2022-04,176.910,-0.02070,0.00124,1,1,-0.02070,-0.02070,3.6031,3.5682,3.1568
2022-05,171.140,-0.03262,0.00145,1,1,-0.03262,-0.03262,3.4855,3.4518,3.0538
2022-06,168.460,-0.01566,0.00145,1,0,-0.01566,-0.00105,3.4310,3.3977,3.0506
2022-07,164.100,-0.02588,0.00186,0,0,-0.00064,0.00186,3.3422,3.3956,3.0563
2022-08,159.270,-0.02943,0.00206,0,0,0.00206,0.00206,3.2438,3.4026,3.0626
2022-09,154.670,-0.02888,0.00206,0,0,0.00206,0.00206,3.1501,3.4096,3.0689
2022-10,151.910,-0.01784,0.00247,0,0,0.00247,0.00247,3.0939,3.4180,3.0765
2022-11,164.810,0.08492,0.00267,0,0,0.00267,0.00267,3.3566,3.4271,3.0847
2022-12,169.640,0.02931,0.00267,0,0,0.00267,0.00267,3.4550,3.4362,3.0929
2023-01,179.410,0.05759,0.00287,1,1,0.05509,0.05509,3.6540,3.6255,3.2633
2023-02,169.780,-0.05368,0.00287,1,1,-0.05368,-0.05368,3.4578,3.4309,3.0881
2023-03,183.220,0.07916,0.00287,1,1,0.07916,0.07916,3.7316,3.7025,3.3326
2023-04,184.800,0.00862,0.00287,1,1,0.00862,0.00862,3.7637,3.7345,3.3613
2023-05,182.320,-0.01342,0.00287,1,1,-0.01342,-0.01342,3.7132,3.6844,3.3162
2023-06,178.270,-0.02221,0.00287,1,1,-0.02221,-0.02221,3.6308,3.6025,3.2426
2023-07,182.350,0.02289,0.00287,1,1,0.02289,0.02289,3.7138,3.6850,3.3168
2023-08,180.020,-0.01278,0.00287,1,1,-0.01278,-0.01278,3.6664,3.6379,3.2744
2023-09,171.450,-0.04761,0.00287,1,1,-0.04761,-0.04761,3.4919,3.4647,3.1185
2023-10,184.090,0.07372,0.00287,0,0,0.00037,0.00037,3.7493,3.4660,3.1197
2023-11,188.750,0.02531,0.00287,0,1,0.00287,0.02281,3.8442,3.4759,3.1908
2023-12,191.170,0.01282,0.00287,1,1,0.01032,0.01282,3.8935,3.5118,3.2317
2024-01,188.450,-0.01423,0.00287,1,1,-0.01423,-0.01423,3.8381,3.4618,3.1858
